filename,word,variation,provider,source_url,duration_s,fps,width,height,n_frames,ok
hello__signstation.mp4,hello,1,signstation,https://media.signbsl.com/videos/bsl/signstation/HI.mp4,1.44,25.0,320,240,36,True
hello_var2__signstation.mp4,hello,2,signstation,https://media.signbsl.com/videos/bsl/signstation/hello.mp4,1.8,25.0,320,240,45,True
hello_var3__signstation.mp4,hello,3,signstation,https://media.signbsl.com/videos/bsl/signstation/hello-2.mp4,2.0,25.0,320,240,50,True
hello_var4__deafway.mp4,hello,4,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Hello.mp4,2.04,25.0,640,360,51,True
hello_var5__youtube.mp4,hello,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/gWIrN56a55I.mp4,2.736,29.97,640,360,82,True
hello_var6__signmonkey.mp4,hello,6,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/hello.mp4,2.159,28.25,640,480,61,True
hello_var7__ExeterDeafAcademyVoiceOff.mp4,hello,7,ExeterDeafAcademyVoiceOff,https://media.signbsl.com/videos/bsl/ExeterDeafAcademyVoiceOff/mp4/m1Kyqa7PuCI.mp4,5.13,23.976,640,360,123,True
hello_var8__youtube.mp4,hello,8,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/QB44Vddoi-w.mp4,2.04,25.0,640,360,51,True
hello_var9__youtube.mp4,hello,9,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/gAHxtMOdeWQ.mp4,3.2,25.0,640,360,80,True
hello_var10__youtube.mp4,hello,10,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/JLCpOc3ifdQ.mp4,4.36,25.0,640,360,109,True
goodbye__signstation.mp4,goodbye,1,signstation,https://media.signbsl.com/videos/bsl/signstation/goodbye.mp4,1.8,25.0,320,240,45,True
goodbye_var2__signstation.mp4,goodbye,2,signstation,https://media.signbsl.com/videos/bsl/signstation/bye.mp4,1.72,25.0,320,240,43,True
goodbye_var3__deafway.mp4,goodbye,3,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Bye.mp4,2.28,25.0,640,360,57,True
goodbye_var4__youtube.mp4,goodbye,4,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/eiO-WrZ_h9g.mp4,3.237,29.97,640,360,97,True
goodbye_var5__youtube.mp4,goodbye,5,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/UaF2_Q2uy-8.mp4,3.04,25.0,480,320,76,True
goodbye_var6__signmonkey.mp4,goodbye,6,signmonkey,https://media.signbsl.com/videos/bsl/signmonkey/mp4/goodbye.mp4,2.301,28.25,640,480,65,True
goodbye_var7__youtube.mp4,goodbye,7,youtube,https://media.signbsl.com/videos/bsl/youtube/mp4/DTtXqF7jMfY.mp4,3.937,29.97,640,360,118,True
please__signstation.mp4,please,1,signstation,https://media.signbsl.com/videos/bsl/signstation/please.mp4,1.4,25.0,320,240,35,True
please_var2__signstation.mp4,please,2,signstation,https://media.signbsl.com/videos/bsl/signstation/please-2.mp4,1.32,25.0,320,240,33,True
please_var3__deafway.mp4,please,3,deafway,https://media.signbsl.com/videos/bsl/deafway/mp4/Please.mp4,2.0,25.0,640,360,50,True
