filename,word,provider,split_random,split_by_provider
good_var8__signstation.mp4,good,signstation,train,train
help_var4__deafway.mp4,help,deafway,train,val
four_var2__signstation.mp4,four,signstation,train,train
now_var3__signon.mp4,now,signon,test,test
think_var3__signstation.mp4,think,signstation,train,train
sad_var2__deafway.mp4,sad,deafway,train,val
water_var2__youtube.mp4,water,youtube,train,train
know_var4__corpusngt.mp4,know,corpusngt,train,train
home_var6__deafway.mp4,home,deafway,train,val
slow_var3__signmonkey.mp4,slow,signmonkey,train,train
hot_var9__bslfirst.mp4,hot,bslfirst,test,train
think_var5__signon.mp4,think,signon,train,test
thank-you_var2__signstation.mp4,thank-you,signstation,train,train
name_var8__youtube.mp4,name,youtube,test,train
night_var6__corpusngt.mp4,night,corpusngt,train,train
later_var4__gpnhs.mp4,later,gpnhs,test,train
hard_var6__gpnhs.mp4,hard,gpnhs,train,train
family_var6__gpnhs.mp4,family,gpnhs,train,train
learn_var9__corpusngt.mp4,learn,corpusngt,train,train
later__signstation.mp4,later,signstation,train,train
drink_var5__ExeterDeafAcademyVoiceOff.mp4,drink,ExeterDeafAcademyVoiceOff,train,train
easy_var7__ExeterDeafAcademyVoiceOff.mp4,easy,ExeterDeafAcademyVoiceOff,train,train
drink_var7__signstation.mp4,drink,signstation,train,train
child_var6__signstation.mp4,child,signstation,train,train
hot_var5__corpusngt.mp4,hot,corpusngt,val,train
yesterday_var6__youtube.mp4,yesterday,youtube,train,train
friend__signstation.mp4,friend,signstation,val,train
what_var2__signstation.mp4,what,signstation,train,train
toilet_var13__gpnhs.mp4,toilet,gpnhs,train,train
think_var14__corpusngt.mp4,think,corpusngt,train,train
hospital__deafway.mp4,hospital,deafway,test,val
welcome_var5__youtube.mp4,welcome,youtube,val,train
old_var8__youtube.mp4,old,youtube,train,train
learn_var2__signstation.mp4,learn,signstation,train,train
sign_var6__signstation.mp4,sign,signstation,train,train
water_var6__youtube.mp4,water,youtube,test,train
why_var2__signmonkey.mp4,why,signmonkey,train,train
hard__signstation.mp4,hard,signstation,test,train
deaf_var4__signmonkey.mp4,deaf,signmonkey,train,train
read__signstation.mp4,read,signstation,train,train
father_var6__nf.mp4,father,nf,train,train
see_var11__signstation.mp4,see,signstation,train,train
sorry_var7__youtube.mp4,sorry,youtube,train,train
food__signstation.mp4,food,signstation,train,train
toilet_var11__youtube.mp4,toilet,youtube,train,train
learn_var8__signstation.mp4,learn,signstation,train,train
thank-you_var7__youtube.mp4,thank-you,youtube,test,train
where_var7__youtube.mp4,where,youtube,train,train
thank-you__signstation.mp4,thank-you,signstation,train,train
my_var4__corpusngt.mp4,my,corpusngt,test,train
five__signstation.mp4,five,signstation,train,train
what_var6__nf.mp4,what,nf,train,train
which_var5__gpnhs.mp4,which,gpnhs,train,train
go_var10__bslfirst.mp4,go,bslfirst,train,train
toilet_var10__signstation.mp4,toilet,signstation,test,train
morning_var13__corpusngt.mp4,morning,corpusngt,train,train
brother_var8__bslfirst.mp4,brother,bslfirst,train,train
goodbye_var6__signmonkey.mp4,goodbye,signmonkey,val,train
water_var3__youtube.mp4,water,youtube,train,train
my__signstation.mp4,my,signstation,train,train
hearing_var7__bslfirst.mp4,hearing,bslfirst,train,train
today_var2__winkball.mp4,today,winkball,train,val
goodbye_var7__youtube.mp4,goodbye,youtube,test,train
office_var5__gpnhs.mp4,office,gpnhs,train,train
what_var10__youtube.mp4,what,youtube,train,train
family_var3__signmonkey.mp4,family,signmonkey,val,train
sad_var6__nf.mp4,sad,nf,train,train
see__signstation.mp4,see,signstation,train,train
toilet_var6__gpnhs.mp4,toilet,gpnhs,train,train
why_var5__youtube.mp4,why,youtube,train,train
family_var12__signstation.mp4,family,signstation,train,train
morning_var3__ExeterDeafAcademyVoiceOff.mp4,morning,ExeterDeafAcademyVoiceOff,train,train
child_var4__signstation.mp4,child,signstation,train,train
later_var2__signstation.mp4,later,signstation,train,train
you__signstation.mp4,you,signstation,test,train
